Company English Name,Chinese Name,Country,Type,Website
ABB Engineering (Shanghai) Ltd,上海ABB工程有限公司,China,有限责任公司（外国法人独资）,https://new.abb.com/
Shanghai Xiteng Electronic Information Technology Co Ltd,上海希腾电子信息技术有限责任公司,China,有限责任公司（外国法人独资）,https://www.shanghai-electric.com/
Transfar Zhilian Co Ltd,传化智联股份有限公司,China,民营公司,https://www.etransfar.com/
Yiyun Zhiai Technology (Shenzhen) Co Ltd,一云智爱科技(深圳)有限公司,China,有限责任公司（外国法人独资）,https://gookytech.en.alibaba.com/
Beijing Jijia Technology Co Ltd,北京积加科技有限公司,China,有限责任公司（外国法人独资）,http://www.zhjjtech.com/en/ 
Shanghai Yinhang Information Technology Co LTD,上海音航信息科技有限公司,China,有限责任公司（外国法人独资）,
Shanghai Xiaoxiliushui Business Consulting Co LTD,上海小溪流水商务咨询有限责任公司,China,有限责任公司（外国法人独资）,
Shanghai NIO Co Ltd,上海蔚来汽车有限公司,China,有限责任公司（外国法人独资）,https://www.nio.com/
United Automotive Electronic Systems Co Ltd,联合汽车电子有限公司,China,中外合资企业,https://www.uaes.com/
Shanghai TechBank Medical Co Ltd,上海科库医疗技术有限公司,China,有限责任公司（非自然人投资或控股的法人独资）,http://www.techbankmed.com/en/
GM (China) Investment Co Ltd,通用汽车（中国）投资有限公司,China,有限责任公司（外国法人独资）,https://www.gmchina.com/
Rockwell Automation(China) LTD,罗克韦尔自动化（中国）有限公司,China,有限责任公司（外国法人独资）,https://www.rockwellautomation.com/
HASCO VISION Technology (Shanghai) Co Ltd,华域视觉科技（上海）有限公司,China,有限责任公司（非自然人投资或控股的法人独资）,https://hvus.hascovision.com/
Intel Asia Pacific Research and Development Ltd,英特尔亚太研发有限公司,China,有限责任公司（外国法人独资）,https://www.intel.com/
Hangzhou AIMS Intelligent Technology Co Ltd,杭州安脉盛智能技术有限公司,China,民营公司,https://www.aimsphm.com/ 
Beijing Builderx Intelligent Technology Co Ltd,北京拓疆者智能科技有限公司,China,民营公司,
Shenzhen Sunway Communication CO LTD,深圳市信维通信股份有限公司,China,民营公司,https://en.sz-sunway.com/
Bosch (Shanghai) Smart Life Technology Ltd (RBLC),博世（上海）智能科技有限公司,China,有限责任公司（外国法人独资）,https://www.bosch.com/
Suzhou Sophoton Tech Co Ltd,苏州识光芯科技术有限公司,China,民营公司,https://uspto.report/TM/97052494 
Shanghai Nexmaterials Technology Co Ltd,Shanghai Nexmaterials Technology Co Ltd,China,民营公司,
ChinaScope (Shanghai) Techno Co Ltd,ChinaScope (Shanghai) Techno Co Ltd,China,民营公司,http://chinascope.org/
Beijing TerraQuanta Technology Co Ltd,Beijing TerraQuanta Technology Co Ltd,China,民营公司,http://terraqt.com/
Shanghai United Imaging Healthcare Co Ltd,Shanghai United Imaging Healthcare Co Ltd,China,民营公司,https://www.united-imaging.com/en/
Mega Phase Industrial Inspection Technology (Shanghai) Co Ltd,Mega Phase Industrial Inspection Technology (Shanghai) Co Ltd,China,民营公司,http://www.megaphase3d.com/en
VMware Information Technology (China) Co Ltd,VMware Information Technology (China) Co Ltd,China,民营公司,https://www.vmware.com/
